displacement_tonnes,engine_power_kw,hull_coefficient,speed_knots,wave_height_m,wind_speed_kn,current_speed_kn,ship_type,fuel_type,load_condition,fuel_rate_tpd
2862.0,10079.0,0.658,20.17,1.82,23.7,-1.54,Offshore_Patrol,MGO,Ballast,90.137
633.0,5833.0,0.505,25.57,0.97,14.8,-2.04,Fast_Patrol,MGO,Ballast,48.303
2493.0,7129.0,0.626,17.88,0.48,4.7,0.44,Offshore_Patrol,MGO,Laden,43.315
661.0,4291.0,0.51,20.24,1.13,18.9,-0.38,Fast_Patrol,MGO,Laden,22.418
32.0,2990.0,0.417,26.5,1.08,18.3,-1.41,Interceptor,MGO,Ballast,5.526
2339.0,7317.0,0.596,23.93,2.82,20.9,-0.46,Offshore_Patrol,MGO,Laden,98.376
2011.0,9011.0,0.607,21.31,1.95,12.4,-1.27,Offshore_Patrol,MGO,Laden,81.978
1766.0,9056.0,0.626,20.44,2.36,21.5,0.22,Offshore_Patrol,VLSFO,Laden,55.336
77.0,2295.0,0.438,7.23,2.11,16.7,1.18,Interceptor,MGO,Laden,0.488
492.0,6520.0,0.487,26.91,2.16,31.4,1.59,Fast_Patrol,VLSFO,Laden,38.357
508.0,5645.0,0.471,17.21,0.99,5.8,-0.19,Fast_Patrol,MGO,Ballast,9.868
2432.0,7543.0,0.619,7.81,2.06,25.2,-0.21,Offshore_Patrol,VLSFO,Laden,7.342
384.0,5429.0,0.518,25.97,2.95,20.7,-2.17,Fast_Patrol,MGO,Laden,42.139
1877.0,9852.0,0.586,24.73,3.8,26.6,-1.75,Offshore_Patrol,VLSFO,Ballast,123.47
333.0,6180.0,0.519,22.63,3.34,20.8,1.6,Fast_Patrol,MGO,Ballast,15.365
78.0,2954.0,0.439,16.88,2.62,21.3,0.21,Interceptor,MGO,Laden,2.816
521.0,5908.0,0.583,23.92,1.93,12.2,1.35,Fast_Patrol,MGO,Ballast,26.029
53.0,3106.0,0.412,11.91,1.21,11.1,-2.26,Interceptor,MGO,Laden,1.282
2031.0,9394.0,0.553,20.92,2.15,11.6,-0.09,Offshore_Patrol,MGO,Laden,55.098
645.0,5838.0,0.53,27.8,4.47,21.9,-2.08,Fast_Patrol,MGO,Laden,81.484
2246.0,5448.0,0.598,21.85,1.36,12.0,-2.6,Offshore_Patrol,VLSFO,Ballast,89.93
481.0,5731.0,0.53,11.95,5.17,42.5,-1.07,Fast_Patrol,MGO,Ballast,6.323
2084.0,10405.0,0.609,20.03,2.22,19.5,2.19,Offshore_Patrol,MGO,Laden,38.427
2620.0,7975.0,0.632,22.09,3.93,27.7,-0.97,Offshore_Patrol,VLSFO,Ballast,109.979
1472.0,10451.0,0.604,17.18,1.06,24.4,1.5,Offshore_Patrol,MGO,Ballast,20.457
68.0,1874.0,0.477,9.94,0.96,0.0,-0.31,Interceptor,MGO,Ballast,0.747
